Part Number,Parts,CPU,Clock speed [max] (MHz) ,DMIPS,Flash (KB),SRAM(kB),EEPROM (kB) ,GPIO,USB,USB (speed),USB (type),CAN,UART,I?C,SPI,ADC channels,ADC (bits) ,Comparators,DAC (bits) ,Timers,Timer (bits) ,SCTimer / PWM,PWM,Package name,Temperature range,Temperature sensor,Supply voltage [min] (V) ,Supply voltage [max] (V) ,Product status,Demoboard,,,,
LPC1112FDH28,LPC1112FDH28/102,Cortex-M0,50,42,16,4,-,22,-,-,-,-,1,1,1,6,10,-,22,16; 32,1,-,13,TSSOP28,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11049; OM13035,,,
LPC1112FHI33,LPC1112FHI33,Cortex-M0,50,42,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHI33,LPC1112FHI33/102,Cortex-M0,50,42,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHI33,LPC1112FHI33/202,Cortex-M0,50,42,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHI33,LPC1112FHI33/203,Cortex-M0,50,42,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHN24,LPC1112FHN24,Cortex-M0,50,42,16,4,-,19,-,-,-,-,1,1,1,6,10,-,22,16; 32,1,-,13,HVQFN24,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHN24,LPC1112FHN24/202,Cortex-M0,50,42,16,4,-,19,-,-,-,-,1,1,1,6,10,-,22,16; 32,1,-,13,HVQFN24,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHN33,LPC1112FHN33,Cortex-M0,50,-,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHN33,LPC1112FHN33/101,Cortex-M0,50,-,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHN33,LPC1112FHN33/102,Cortex-M0,50,-,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHN33,LPC1112FHN33/103,Cortex-M0,50,-,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHN33,LPC1112FHN33/201,Cortex-M0,50,-,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHN33,LPC1112FHN33/202,Cortex-M0,50,-,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHN33,LPC1112FHN33/203,Cortex-M0,50,-,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112FHN33,LPC1112FHN33/303,Cortex-M0,50,-,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1112JHI33,LPC1112JHI33,Cortex-M0,50,42,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,N,1.8,3.6,Production,-,,,
LPC1112JHI33,LPC1112JHI33/203,Cortex-M0,50,42,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
LPC1112JHN33,LPC1112JHN33,Cortex-M0,50,42,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,N,1.8,3.6,Production,-,,,
LPC1112JHN33,LPC1112JHN33/103,Cortex-M0,50,42,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
LPC1112JHN33,LPC1112JHN33/203,Cortex-M0,50,42,16,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
LPC1112LVFHI33,LPC1112LVFHI33,Cortex-M0,50,42,16,4,-,27,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,11,HVQFN32,-40 °C to +85 °C,-,N,1.71,1.89,Production,-,,,
LPC1112LVFHI33,LPC1112LVFHI33/103,Cortex-M0,50,42,16,4,-,27,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,11,HVQFN32,-40 °C to +85 °C,-,-,1.71,1.89,Production,-,,,
LPC1112LVFHN24,LPC1112LVFHN24,Cortex-M0,50,42,16,2,-,20,-,-,-,-,1,1,1,6,10,-,22,16; 32,1,-,11,HVQFN24,-40 °C to +85 °C,-,N,1.71,1.89,Production,-,,,
LPC1112LVFHN24,LPC1112LVFHN24/003,Cortex-M0,50,42,16,2,-,20,-,-,-,-,1,1,1,6,10,-,22,16; 32,1,-,11,HVQFN24,-40 °C to +85 °C,-,-,1.71,1.89,Production,-,,,
