Part Number,Parts,CPU,Clock speed [max] (MHz) ,DMIPS,Flash (KB),SRAM(kB),EEPROM (kB) ,GPIO,USB,USB (speed),USB (type),CAN,UART,I?C,SPI,ADC channels,ADC (bits) ,Comparators,DAC (bits) ,Timers,Timer (bits) ,SCTimer / PWM,PWM,Package name,Temperature range,Temperature sensor,Supply voltage [min] (V) ,Supply voltage [max] (V) ,Product status,Demoboard,,,,
LPC1111FHN33,LPC1111FHN33/303,Cortex-M0,50,-0,8,2,0,28,-0,-0,-0,-0,1,1,1,8,10,-0,-0,4,16; 32,1,13,HVQFN32,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13035; OM11049; OM11085; OM11086,,,,
LPC1111JHN33,LPC1111JHN33,Cortex-M0,50,42,8,2,0,28,-0,-0,-0,-0,1,1,1,8,10,-0,-0,4,16; 32,1,13,HVQFN32,-40 °C to +105 °C,-0,1.8,3.6,Production,-0,,,,
LPC1111JHN33,LPC1111JHN33/103,Cortex-M0,50,-0,8,2,0,28,-0,-0,-0,-0,1,1,1,8,10,-0,-0,4,16; 32,1,13,HVQFN32,-40 °C to +105 °C,-0,1.8,3.6,Production,-0,,,,
LPC1111JHN33,LPC1111JHN33/203,Cortex-M0,50,-0,8,2,0,28,-0,-0,-0,-0,1,1,1,8,10,-0,-0,4,16; 32,1,13,HVQFN32,-40 °C to +105 °C,-0,1.8,3.6,Production,LPC1112,,,,
LPC1112FD20,LPC1112FD20,Cortex-M0,50,42,16,4,0,16,-0,-0,-0,-0,1,1,1,5,10,-0,-0,4,16; 32,1,13,SO20,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC1112,,,,
LPC1112FDH20,LPC1112FDH20,Cortex-M0,50,42,16,4,0,14,-0,-0,-0,-0,1,-0,1,5,10,-0,-0,4,16; 32,1,13,TSSOP20,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC1112,,,,
LPC1112FDH28,LPC1112FDH28,Cortex-M0,50,42,16,4,0,22,-0,-0,-0,-0,1,1,1,6,10,-0,-0,4,16; 32,1,13,TSSOP28,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC1112,,,,
LPC1112FHN24,LPC1112FHN24,Cortex-M0,50,42,16,4,0,19,-0,-0,-0,-0,1,1,1,6,10,-0,-0,4,16; 32,1,13,HVQFN24,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC1112,,,,
LPC1112JHI33,LPC1112JHI33,Cortex-M0,50,42,16,2,0,28,-0,-0,-0,-0,1,1,1,8,10,-0,-0,4,16; 32,1,13,HVQFN32,-40 °C to +105 °C,-0,1.8,3.6,Production,LPC1112,,,,
LPC1112JHN33,LPC1112JHN33,Cortex-M0,50,42,16,2,0,28,-0,-0,-0,-0,1,1,1,8,10,-0,-0,4,16; 32,1,13,HVQFN32,-40 °C to +105 °C,-0,1.8,3.6,Production,LPC1112LV,,,,
LPC1112LVFHI33,LPC1112LVFHI33,Cortex-M0,50,42,16,4,0,27,-0,-0,-0,-0,1,1,1,8,10,-0,-0,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,-0,1.71,1.89,Production,LPC1112LV,,,,
LPC1112LVFHN24,LPC1112LVFHN24,Cortex-M0,50,42,16,2,0,20,-0,-0,-0,-0,1,1,1,6,10,-0,-0,4,16; 32,1,11,HVQFN24,-40 °C to +85 °C,-0,1.71,1.89,Production,LPC1113,,,,
LPC1113JBD48,LPC1113JBD48,Cortex-M0,50,42,24,8,0,42,-0,-0,-0,-0,1,1,2,8,10,-0,-0,4,16; 32,1,13,LQFP48,-40 °C to +105 °C,-0,1.8,3.6,Production,LPC1113,,,,
LPC1113JHN33,LPC1113JHN33,Cortex-M0,50,42,24,4,0,28,-0,-0,-0,-0,1,1,1,8,10,-0,-0,4,16; 32,1,13,HVQFN32,-40 °C to +105 °C,-0,1.8,3.6,Production,LPC1114,,,,
LPC1114FDH28,LPC1114FDH28,Cortex-M0,50,42,32,4,0,22,-0,-0,-0,-0,1,1,1,6,10,-0,-0,4,16; 32,1,13,TSSOP28,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC1114,,,,
LPC1114FHI33,LPC1114FHI33,Cortex-M0,50,42,32,4,0,28,-0,-0,-0,-0,1,1,1,8,10,-0,-0,4,16; 32,1,13,HVQFN32,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC1114,,,,
LPC1114FN28,LPC1114FN28,Cortex-M0,50,42,32,4,0,22,-0,-0,-0,-0,1,1,1,6,10,-0,-0,4,16; 32,1,13,DIP28,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC1114,,,,
LPC1114JBD48,LPC1114JBD48,Cortex-M0,50,42,32,8,0,42,-0,-0,-0,-0,1,1,2,8,10,-0,-0,4,16; 32,1,13,LQFP48,-40 °C to +105 °C,-0,1.8,3.6,Production,LPC1114,,,,
LPC1114JHI33,LPC1114JHI33,Cortex-M0,50,42,32,4,0,28,-0,-0,-0,-0,1,1,1,8,10,-0,-0,4,16; 32,1,13,HVQFN32,-40 °C to +105 °C,-0,1.8,3.6,Production,LPC1114,,,,
LPC1114JHN33,LPC1114JHN33,Cortex-M0,50,42,32,4,0,28,-0,-0,-0,-0,1,1,1,8,10,-0,-0,4,16; 32,1,13,HVQFN32,-40 °C to +105 °C,-0,1.8,3.6,Production,LPC1114LV,,,,
LPC1114LVFHI33,LPC1114LVFHI33,Cortex-M0,50,42,32,8,0,27,-0,-0,-0,-0,1,1,1,8,10,-0,-0,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,-0,1.71,1.89,Production,LPC1114LV,,,,
LPC1114LVFHN24,LPC1114LVFHN24,Cortex-M0,50,42,32,4,0,20,-0,-0,-0,-0,1,1,1,6,10,-0,-0,4,16; 32,1,11,HVQFN24,-40 °C to +85 °C,-0,1.71,1.89,Production,LPC1115,,,,
LPC1115JBD48,LPC1115JBD48,Cortex-M0,50,42,64,8,0,42,-0,-0,-0,-0,1,1,2,8,10,-0,-0,4,16; 32,1,13,LQFP48,-40 °C to +105 °C,-0,1.8,3.6,Production,LPC1115,,,,
LPC1115JET48,LPC1115JET48,Cortex-M0,50,42,64,8,0,42,-0,-0,-0,-0,1,1,2,8,10,-0,-0,4,16; 32,1,13,TFBGA48,-40 °C to +105 °C,-0,1.8,3.6,Production,-0,,,,
LPC1124JBD48,LPC1124JBD48,Cortex-M0,50,42,64,8,-0,38,-0,-0,-0,-0,3,1,-0,8,12,-0,-0,-0,1,-0,-0,LQFP48,-40 °C to +105 °C,-0,N,1.8,3.6,Production,-0,,,
LPC1124JBD48,LPC1124JBD48/303,Cortex-M0,50,42,64,8,-0,38,-0,-0,-0,-0,3,1,-0,8,12,-0,-0,-0,1,-0,-0,LQFP48,-40 °C to +105 °C,-0,-0,1.8,3.6,Production,-0,,,
LPC1125JBD48,LPC1125JBD48,Cortex-M0,50,42,64,8,0,38,-0,-0,-0,-0,3,1,-0,8,-0,-0,-0,-0,-0,1,-0,LQFP48,-40 °C to +105 °C,-0,1.8,3.6,Production,OM13080,,,,
LPC1125JBD48,LPC1125JBD48/303,Cortex-M0,50,-0,64,8,0,38,-0,-0,-0,-0,3,1,-0,8,-0,-0,-0,-0,-0,1,-0,LQFP48,-40 °C to +105 °C,-0,1.8,3.6,Production,LPC11AXX,,,,
LPC11A02UK,LPC11A02UK,Cortex-M0,50,42,16,4,2,18,-0,-0,-0,-0,1,1,1,8,10,1,10,4,16; 32,1,11,WLCSP,-40 °C to +85 °C,1,2.6,3.6,Production,LPC11AXX,,,,
