Part Number,Parts,CPU,Clock speed [max] (MHz) ,DMIPS,Flash (KB),SRAM(kB),EEPROM (kB) ,GPIO,USB,USB (speed),USB (type),CAN,UART,I?C,SPI,ADC channels,ADC (bits) ,Comparators,DAC (bits) ,Timers,Timer (bits) ,SCTimer / PWM,PWM,Package name,Temperature range,Temperature sensor,Supply voltage [min] (V) ,Supply voltage [max] (V) ,Product status,Demoboard,,,,
LPC11U67JBD48,LPC11U67JBD48,Cortex-M0+,50,42,128,20,4,34,1,FS,device,-0,3,2,-0,8,12,-0,-0,6,32,2,19,LQFP48,-40 °C to +85 °C,-0,2.4,3.6,Production,OM13065; OM13058,,,,
LPC11U67JBD64,LPC11U67JBD64,Cortex-M0+,50,42,128,20,4,48,1,FS,device,-0,3,2,-0,10,12,-0,-0,6,32,2,19,LQFP64,-40 °C to +85 °C,-0,2.4,3.6,Production,-0,,,,
LPC11U68JBD100,LPC11U68JBD100,Cortex-M0+,50,42,256,36,4,80,1,FS,device,-0,5,2,-0,12,12,-0,-0,6,32,2,19,LQFP100,-40 °C to +85 °C,-0,2.4,3.6,Production,OM13065; OM13058,,,,
LPC11U68JBD48,LPC11U68JBD48,Cortex-M0+,50,42,256,36,4,34,1,FS,device,-0,3,2,-0,8,12,-0,-0,6,32,2,19,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13065; OM13058,,,,
LPC11U68JBD64,LPC11U68JBD64,Cortex-M0+,50,42,256,36,4,48,1,FS,device,-0,3,2,-0,10,12,-0,-0,6,32,2,19,LQFP64,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13065; OM13058,,,,
LPC12D27FBD100,LPC12D27FBD100,Cortex-M0,30,,128,8,0,40,2,1,1,8,10,22,16; 32,1,LQFP100,-40 °C to +85 °C,3,3.6,Production,,,,,,,,,,,,,
LPC1224,LPC1224,Cortex-M0,,,32,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPC1225,LPC1225,Cortex-M0,,,64,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPC1226,LPC1226,Cortex-M0,,,96,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPC1227,LPC1227,Cortex-M0,,,128,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPC1311FHN33,LPC1311FHN33,Cortex-M3,72,90,8,4,0,28,0,-0,-0,1,1,1,8,10,22,16; 32,HVQFN32,-40 °C to +85 °C,2,3.6,Production,LPC1313_1315,,,,,,,,,,
LPC1313FBD48,LPC1313FBD48,Cortex-M3,72,90,32,8,0,42,0,-0,-0,1,1,1,8,10,22,16; 32,LQFP48,-40 °C to +85 °C,2,3.6,Production,LPC1313_1315,,,,,,,,,,
LPC1313FHN33,LPC1313FHN33,Cortex-M3,72,90,32,8,0,28,0,-0,-0,1,1,1,8,10,22,16; 32,HVQFN32,-40 °C to +85 °C,2,3.6,Production,LPC1313_1315,,,,,,,,,,
LPC1315FBD48,LPC1315FBD48,Cortex-M3,72,90,32,8,2,40,0,-0,-0,1,1,2,8,12,22,16; 32,LQFP48,-40 °C to +85 °C,2,3.6,Production,LPC1313_1315,,,,,,,,,,
LPC1315FHN33,LPC1315FHN33,Cortex-M3,72,90,32,8,2,28,0,-0,-0,1,1,2,8,12,22,16; 32,HVQFN32,-40 °C to +85 °C,2,3.6,Production,LPC1316,,,,,,,,,,
LPC1316FBD48,LPC1316FBD48,Cortex-M3,72,90,48,8,4,40,0,-0,-0,1,1,2,8,12,22,16; 32,LQFP48,-40 °C to +85 °C,2,3.6,Production,LPC1316,,,,,,,,,,
LPC1316FHN33,LPC1316FHN33,Cortex-M3,72,90,48,8,4,28,0,-0,-0,1,1,2,8,12,22,16; 32,HVQFN32,-40 °C to +85 °C,2,3.6,Production,LPC1317,,,,,,,,,,
LPC1317FBD48,LPC1317FBD48,Cortex-M3,72,90,64,10,4,40,0,-0,-0,1,1,2,8,12,22,16; 32,LQFP48,-40 °C to +85 °C,2,3.6,Production,LPC1317,,,,,,,,,,
LPC1317FBD64,LPC1317FBD64,Cortex-M3,72,90,64,10,4,51,0,-0,-0,1,1,2,8,12,22,16; 32,LQFP64,-40 °C to +85 °C,2,3.6,Production,LPC1317,,,,,,,,,,
LPC1317FHN33,LPC1317FHN33,Cortex-M3,72,90,64,10,4,28,0,-0,-0,1,1,2,8,12,22,16; 32,HVQFN32,-40 °C to +85 °C,2,3.6,Production,LPC1342,,,,,,,,,,
LPC1342FBD48,LPC1342FBD48,Cortex-M3,72,90,16,4,0,40,1,FS,device,1,1,1,8,10,22,16; 32,LQFP48,-40 °C to +85 °C,2,3.6,Production,LPC1342,,,,,,,,,,
LPC1342FHN33,LPC1342FHN33,Cortex-M3,72,90,16,4,0,28,1,FS,device,1,1,1,8,10,22,16; 32,HVQFN32,-40 °C to +85 °C,2,3.6,Production,LPC1343,,,,,,,,,,
LPC1343FBD48,LPC1343FBD48,Cortex-M3,72,90,32,8,0,40,1,FS,device,1,1,1,8,10,22,16; 32,LQFP48,-40 °C to +85 °C,2,3.6,Production,LPC1343,,,,,,,,,,
LPC1343FHN33,LPC1343FHN33,Cortex-M3,72,90,32,8,0,28,1,FS,device,1,1,1,8,10,22,16; 32,HVQFN32,-40 °C to +85 °C,2,3.6,Production,LPC1345,,,,,,,,,,
LPC1345FBD48,LPC1345FBD48,Cortex-M3,72,90,32,10,2,40,1,FS,device,1,1,2,8,12,22,16; 32,LQFP48,-40 °C to +85 °C,2,3.6,Production,LPC1345,,,,,,,,,,
LPC1345FHN33,LPC1345FHN33,Cortex-M3,72,90,32,10,2,26,1,FS,device,1,1,2,8,12,22,16; 32,HVQFN32,-40 °C to +85 °C,2,3.6,Production,LPC1346,,,,,,,,,,
LPC1346FBD48,LPC1346FBD48,Cortex-M3,72,90,48,10,4,40,1,FS,device,1,1,2,8,12,22,16; 32,LQFP48,-40 °C to +85 °C,2,3.6,Production,LPC1346,,,,,,,,,,
LPC1346FHN33,LPC1346FHN33,Cortex-M3,72,90,48,10,4,26,1,FS,device,1,1,2,8,12,22,16; 32,HVQFN32,-40 °C to +85 °C,2,3.6,Production,LPC1347,,,,,,,,,,
LPC1347FBD48,LPC1347FBD48,Cortex-M3,72,90,64,12,4,40,1,FS,device,1,1,2,8,12,22,16; 32,LQFP48,-40 °C to +85 °C,2,3.6,Production,LPC1347,,,,,,,,,,
LPC1347FBD64,LPC1347FBD64,Cortex-M3,72,90,64,12,4,51,1,FS,device,1,1,2,8,12,22,16; 32,LQFP64,-40 °C to +85 °C,2,3.6,Production,LPC1347,,,,,,,,,,
LPC1347FHN33,LPC1347FHN33,Cortex-M3,72,90,64,12,4,26,1,FS,device,1,1,2,8,12,22,16; 32,HVQFN32,-40 °C to +85 °C,2,3.6,Production,OM13045; OM13034,,,,,,,,,,
LPC1517JBD48,LPC1517JBD48,Cortex-M3,72,90,64,12,4,32,0,-0,-0,1,3,1,2,16,12,4,4,1,LQFP48,-40 °C to +105 °C,2.4,3.6,Production,LPC1517,,,,,,,,
LPC1517JBD64,LPC1517JBD64,Cortex-M3,72,90,64,12,4,46,0,-0,-0,1,3,1,2,24,12,4,4,1,LQFP64,-40 °C to +105 °C,2.4,3.6,Production,OM13068; OM13064; OM13056; OM13067,,,,,,,,
LPC1518JBD100,LPC1518JBD100,Cortex-M3,72,90,128,20,4,78,0,-0,-0,1,3,1,2,24,12,4,4,1,LQFP100,-40 °C to +105 °C,2.4,3.6,Production,OM13068; OM13064; OM13056; OM13067,,,,,,,,
LPC1518JBD64,LPC1518JBD64,Cortex-M3,72,90,128,20,4,46,0,-0,-0,1,3,1,2,24,12,4,4,1,LQFP64,-40 °C to +105 °C,2.4,3.6,Production,LPC1519,,,,,,,,
LPC1519JBD100,LPC1519JBD100,Cortex-M3,72,90,256,36,4,78,0,-0,-0,1,3,1,2,24,12,4,4,1,LQFP100,-40 °C to +105 °C,2.4,3.6,Production,LPC1519,,,,,,,,
LPC1519JBD64,LPC1519JBD64,Cortex-M3,72,90,256,36,4,46,0,-0,-0,1,3,1,2,24,12,4,4,1,LQFP64,-40 °C to +105 °C,2.4,3.6,Production,LPC1547,,,,,,,,
LPC1547JBD48,LPC1547JBD48,Cortex-M3,72,90,64,12,4,30,1,FS,device,1,3,1,2,16,12,4,4,1,LQFP48,-40 °C to +105 °C,2.4,3.6,Production,LPC1547,,,,,,,,
LPC1547JBD64,LPC1547JBD64,Cortex-M3,72,90,64,12,4,44,1,FS,device,1,3,1,2,24,12,4,4,1,LQFP64,-40 °C to +105 °C,2.4,3.6,Production,LPC1548,,,,,,,,
LPC1548JBD100,LPC1548JBD100,Cortex-M3,72,90,128,20,4,76,1,FS,device,1,3,1,2,24,12,4,4,1,LQFP100,-40 °C to +105 °C,2.4,3.6,Production,LPC1548,,,,,,,,
LPC1548JBD64,LPC1548JBD64,Cortex-M3,72,90,128,20,4,44,1,FS,device,1,3,1,2,24,12,4,4,1,LQFP64,-40 °C to +105 °C,2.4,3.6,Production,LPC1549,,,,,,,,
LPC1549JBD100,LPC1549JBD100,Cortex-M3,72,90,256,36,4,76,1,FS,device,1,3,1,2,24,12,4,4,1,LQFP100,-40 °C to +105 °C,2.4,3.6,Production,LPC1549,,,,,,,,
LPC1549JBD48,LPC1549JBD48,Cortex-M3,72,90,256,36,4,30,1,FS,device,1,3,1,2,16,12,4,4,1,LQFP48,-40 °C to +105 °C,2.4,3.6,Production,LPC1549,,,,,,,,
LPC1549JBD64,LPC1549JBD64,Cortex-M3,72,90,256,36,4,44,1,FS,device,1,3,1,2,24,12,4,4,1,LQFP64,-40 °C to +105 °C,2.4,3.6,Production,OM13068; OM13064; OM13056; OM13067,,,,,,,,
LPC1751FBD80,LPC1751FBD80,Cortex-M3,100,125,32,8,0,52,-0,1,FS,host/device,1,4,3,1,-0,6,12,-0,4,32,1,6,1,LQFP80,-40 °C to +85 °C,2.4,3.6,Production,OM11036,,,
LPC1752FBD80,LPC1752FBD80,Cortex-M3,100,125,64,16,0,52,-0,1,FS,host/device,1,4,3,1,-0,6,12,-0,4,32,1,6,1,LQFP80,-40 °C to +85 °C,2.4,3.6,Production,OM11036,,,
LPC1754FBD80,LPC1754FBD80,Cortex-M3,100,125,128,32,0,52,-0,1,FS,host/device,1,4,3,1,-0,6,12,10,4,32,1,6,1,LQFP80,-40 °C to +85 °C,2.4,3.6,Production,OM11036,,,
LPC1756FBD80,LPC1756FBD80,Cortex-M3,100,125,256,32,0,52,-0,2,FS,host/device,2,4,3,1,1,6,12,10,4,32,1,6,1,LQFP80,-40 °C to +85 °C,2.4,3.6,Production,OM11036,,,
LPC1758FBD80,LPC1758FBD80,Cortex-M3,100,125,512,64,0,52,1,1,FS,host/device,2,4,3,1,1,6,12,10,4,32,1,6,1,LQFP80,-40 °C to +85 °C,2.4,3.6,Production,OM11036,,,
LPC1759FBD80,LPC1759FBD80,Cortex-M3,120,150,512,64,0,52,-0,1,FS,host/device,2,4,3,1,1,6,12,10,4,32,1,6,1,LQFP80,-40 °C to +85 °C,2.4,3.6,Production,OM11036,,,
LPC1763FBD100,LPC1763FBD100,Cortex-M3,100,125,256,64,0,70,-0,-0,-0,-0,-0,4,3,1,1,8,12,10,4,32,1,6,1,LQFP100,-40 °C to +85 °C,2.4,3.6,Production,OM11084; OM11043; OM13000; OM11035; OM11034; OM11032,,,
LPC1764FBD100,LPC1764FBD100,Cortex-M3,100,125,128,32,0,70,1,1,FS,host/device,2,4,3,1,-0,8,12,-0,4,32,1,6,1,LQFP100,-40 °C to +85 °C,2.4,3.6,Production,LPC1765,,,
LPC1765,LPC1765FBD100,Cortex-M3,100,125,256,64,0,70,-0,1,FS,host/device,2,4,3,1,1,8,12,10,4,32,1,6,1,LQFP100,-40 °C to +85 °C,2.4,3.6,Production,LPC1765,,,
LPC1765,LPC1765FET100,Cortex-M3,100,125,256,64,0,70,-0,1,FS,host/device,2,4,3,1,1,8,12,10,4,32,1,6,1,TFBGA100,-40 °C to +85 °C,2.4,3.6,Production,OM11084; OM11043; OM13000; OM11035; OM11034; OM11032,,,
LPC1766FBD100,LPC1766FBD100,Cortex-M3,100,125,256,64,0,70,1,1,FS,host/device,2,4,3,1,1,8,12,10,4,32,1,6,1,LQFP100,-40 °C to +85 °C,2.4,3.6,Production,LPC1768,,,
LPC1768,LPC1768FBD100,Cortex-M3,100,125,512,64,0,70,1,1,FS,host/device,2,4,3,1,1,8,12,10,4,32,1,6,1,LQFP100,-40 °C to +85 °C,2.4,3.6,Production,LPC1768,,,
LPC1768,LPC1768FET100,Cortex-M3,100,125,512,64,0,70,1,1,FS,host/device,2,4,3,1,1,8,12,10,4,32,1,6,1,TFBGA100,-40 °C to +85 °C,2.4,3.6,Production,OM11084; OM11043; OM13000; OM11035; OM11034; OM11032,,,
LPC1769FBD100,LPC1769FBD100,Cortex-M3,120,150,512,64,0,70,1,1,FS,host/device,2,4,2,1,1,8,12,10,4,32,1,6,1,LQFP100,-40 °C to +85 °C,2.4,3.6,Production,LPC1774,,,
LPC1774,LPC1774FBD144,Cortex-M3,120,150,128,40,2,109,-0,1,FS,host/device,2,4,3,-0,1,8,12,10,4,32,1,6,1,LQFP144,-40 °C to +85 °C,2.4,3.6,Production,LPC1774,,,
LPC1774,LPC1774FBD208,Cortex-M3,120,150,128,40,2,165,-0,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,LQFP208,-40 °C to +85 °C,2.4,3.6,Production,LPC1776,,,
LPC1776,LPC1776FBD208,Cortex-M3,120,150,256,80,4,165,1,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,LQFP208,-40 °C to +85 °C,2.4,3.6,Production,LPC1776,,,
LPC1776,LPC1776FET180,Cortex-M3,120,150,256,80,4,141,1,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,TFBGA180,-40 °C to +85 °C,2.4,3.6,Production,OM13020; OM13001,,,
LPC1777FBD208,LPC1777FBD208,Cortex-M3,120,150,512,96,4,165,-0,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,LQFP208,-40 °C to +85 °C,2.4,3.6,Production,LPC1778,,,
LPC1778,LPC1778FBD144,Cortex-M3,120,150,512,96,4,109,1,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,LQFP144,-40 °C to +85 °C,2.4,3.6,Production,LPC1778,,,
LPC1778,LPC1778FBD208,Cortex-M3,120,150,512,96,4,165,1,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,LQFP208,-40 °C to +85 °C,2.4,3.6,Production,LPC1778,,,
LPC1778,LPC1778FET180,Cortex-M3,120,150,512,96,4,141,1,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,TFBGA180,-40 °C to +85 °C,2.4,3.6,Production,LPC1778,,,
LPC1778,LPC1778FET208,Cortex-M3,120,150,512,96,4,165,1,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,TFBGA208,-40 °C to +85 °C,2.4,3.6,Production,OM13020; OM13001,,,
LPC1785FBD208,LPC1785FBD208,Cortex-M3,120,150,256,80,4,165,-0,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,0,LQFP208,-40 °C to +85 °C,2.4,3.6,Production,OM13020; OM13001,,,
LPC1786FBD208,LPC1786FBD208,Cortex-M3,120,150,256,80,4,165,1,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,LQFP208,-40 °C to +85 °C,2.4,3.6,Production,OM13020; OM13001,,,
LPC1787FBD208,LPC1787FBD208,Cortex-M3,120,150,512,96,4,165,-0,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,LQFP208,-40 °C to +85 °C,2.4,3.6,Production,LPC1788,,,
LPC1788,LPC1788FBD144,Cortex-M3,120,150,512,96,4,109,1,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,LQFP144,-40 °C to +85 °C,2.4,3.6,Production,LPC1788,,,
LPC1788,LPC1788FBD208,Cortex-M3,120,150,512,96,4,165,1,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,LQFP208,-40 °C to +85 °C,2.4,3.6,Production,LPC1788,,,
LPC1788,LPC1788FET180,Cortex-M3,120,150,512,96,4,141,1,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,TFBGA180,-40 °C to +85 °C,2.4,3.6,Production,LPC1788,,,
LPC1788,LPC1788FET208,Cortex-M3,120,150,512,96,4,165,1,1,FS,host/device,2,5,3,-0,1,8,12,10,4,32,1,6,1,TFBGA208,-40 °C to +85 °C,2.4,3.6,Production,OM13020; OM13001,,,
LPC1810FBD144,LPC1810FBD144,Cortex-M3,180,225,0,136,0,N,83,0,0,-0,-0,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +85 °C,2.4,3.6,Production,OM13026; OM13059; OM13010; OM13061; OM13039; OM13028
LPC1810FBD144,LPC1810FBD144/3D,Cortex-M3,180,-0,0,136,0,N,83,0,0,-0,-0,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +85 °C,2.4,3.6,Production,OM13061; OM13028; OM13039; OM13026; OM13059; OM13010
LPC1810FET100,LPC1810FET100,Cortex-M3,180,225,0,136,0,N,49,0,0,-0,-0,0,2,4,2,2,-0,4,10,10,4,32,1,-0,6,-0,TFBGA100,-40 °C to +85 °C,2.4,3.6,Production,OM13026; OM13059; OM13010; OM13061; OM13039; OM13028
LPC1810FET100,LPC1810FET100/3D,Cortex-M3,180,-0,0,136,0,N,49,0,0,-0,-0,0,2,4,2,2,-0,4,10,10,4,32,1,-0,6,-0,TFBGA100,-40 °C to +85 °C,2.4,3.6,Production,OM13061; OM13028; OM13039; OM13026; OM13059; OM13010
LPC1812JBD144,LPC1812JBD144,Cortex-M3,180,225,512,104,16,N,83,0,0,-0,-0,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1812JET100,LPC1812JET100,Cortex-M3,180,225,512,104,16,N,49,0,0,-0,-0,0,2,4,2,2,-0,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1813JBD144,LPC1813JBD144,Cortex-M3,180,225,512,104,16,N,83,0,0,-0,-0,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1813JET100,LPC1813JET100,Cortex-M3,180,225,512,104,16,N,49,0,0,-0,-0,0,2,4,2,2,-0,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1815JBD144,LPC1815JBD144,Cortex-M3,180,225,768,136,16,N,83,0,0,-0,-0,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1815JET100,LPC1815JET100,Cortex-M3,180,225,768,136,16,N,49,0,0,-0,-0,0,2,4,2,2,-0,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1817JBD144,LPC1817JBD144,Cortex-M3,180,225,1024,136,16,N,83,0,0,-0,-0,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059
LPC1817JET100,LPC1817JET100,Cortex-M3,180,225,1024,136,16,N,49,0,0,-0,-0,0,2,4,2,2,-0,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1820FBD144,LPC1820FBD144,Cortex-M3,180,225,0,168,0,N,83,0,1,HS,host/device,0,2,4,3,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +85 °C,2.4,3.6,Production,OM13026; OM13059; OM13010; OM13061; OM13039; OM13028
LPC1820FBD144,LPC1820FBD144/3D,Cortex-M3,180,-0,0,168,0,N,83,0,1,HS,host/device,0,2,4,3,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +85 °C,2.4,3.6,Production,OM13028; OM13039; OM13026; OM13059; OM13010; OM13061
LPC1820FBD1440,LPC1820FBD144/CP3350,Cortex-M3,180,-0,0,168,0,N,83,0,1,HS,host/device,0,2,4,3,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +85 °C,2.4,3.6,Production,OM13026; OM13059; OM13010; OM13061; OM13039; OM13028
LPC1820FET100,LPC1820FET100,Cortex-M3,180,225,0,168,0,N,49,0,1,HS,host/device,0,2,4,2,2,1,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +85 °C,2.4,3.6,Production,OM13026; OM13059; OM13010; OM13061; OM13039; OM13028
LPC1820FET100,LPC1820FET100/3D,Cortex-M3,180,-0,0,168,0,N,49,0,1,HS,host/device,0,2,4,2,2,1,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +85 °C,2.4,3.6,Production,OM13028; OM13039; OM13026; OM13059; OM13010; OM13061
LPC1820FET1001,LPC1820FET100/CP3351,Cortex-M3,180,-0,0,168,0,N,49,0,1,HS,host/device,0,2,4,2,2,1,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +85 °C,2.4,3.6,Production,OM13026; OM13059; OM13010; OM13061; OM13039; OM13028
LPC1822JBD144,LPC1822JBD144,Cortex-M3,180,225,512,104,16,N,83,0,1,HS,host/device,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1822JET100,LPC1822JET100,Cortex-M3,180,225,512,104,16,N,49,0,1,HS,host/device,0,2,4,2,2,-0,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1823JBD144,LPC1823JBD144,Cortex-M3,180,225,512,104,16,N,83,0,1,HS,host/device,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1823JET100,LPC1823JET100,Cortex-M3,180,225,512,104,16,N,49,0,1,HS,host/device,0,2,4,2,2,1,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1825JBD144,LPC1825JBD144,Cortex-M3,180,225,768,136,16,N,83,0,1,HS,host/device,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1825JET100,LPC1825JET100,Cortex-M3,180,225,768,136,16,N,49,0,1,HS,host/device,0,2,4,2,2,-0,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059
LPC1825JET100,LPC1825JET100/MP100,Cortex-M3,180,-0,768,136,16,N,49,0,1,HS,host/device,0,2,4,2,2,-0,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059
LPC1827JBD144,LPC1827JBD144,Cortex-M3,180,225,1024,136,16,N,83,0,1,HS,host/device,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1827JET100,LPC1827JET100,Cortex-M3,180,225,1024,136,16,N,49,0,1,HS,host/device,0,2,4,2,2,-0,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1830FBD144,LPC1830FBD144,Cortex-M3,180,225,0,200,0,N,83,1,2,HS (2x),host/device,0,2,4,2,2,1,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +85 °C,2.4,3.6,Production,OM13026; OM13059; OM13010; OM13061; OM13039; OM13028
LPC1830FBD144,LPC1830FBD144/3D,Cortex-M3,180,-0,0,200,0,N,83,1,2,HS (2x),host/device,0,2,4,2,2,1,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +85 °C,2.4,3.6,Production,OM13061; OM13028; OM13039; OM13026; OM13059; OM13010
LPC1830FET100,LPC1830FET100,Cortex-M3,180,225,0,200,0,N,49,1,2,HS (2x),host/device,0,2,4,2,2,-0,4,10,10,4,32,1,1,-0,-0,TFBGA100,-40 °C to +85 °C,2.4,3.6,Production,OM13026; OM13059; OM13010; OM13061; OM13039; OM13028
LPC1830FET100,LPC1830FET100/3D,Cortex-M3,180,-0,0,200,0,N,49,1,2,HS (2x),host/device,0,2,4,2,2,-0,4,10,10,4,32,1,1,-0,-0,TFBGA100,-40 °C to +85 °C,2.4,3.6,Production,OM13028; OM13039; OM13026; OM13059; OM13010; OM13061
LPC1830FET180,LPC1830FET180,Cortex-M3,180,225,0,200,0,N,118,1,2,HS (2x),host/device,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,1,TFBGA180,-40 °C to +85 °C,2.4,3.6,Production,OM13026; OM13059; OM13010; OM13061; OM13039; OM13028
LPC1830FET180,LPC1830FET180/3D,Cortex-M3,180,-0,0,200,0,N,118,1,2,HS (2x),host/device,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,1,TFBGA180,-40 °C to +85 °C,2.4,3.6,Production,OM13028; OM13039; OM13026; OM13059; OM13010; OM13061
LPC1830FET256,LPC1830FET256,Cortex-M3,180,225,0,200,0,N,164,1,2,HS (2x),host/device,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,1,LBGA256,-40 °C to +85 °C,2.4,3.6,Production,OM13026; OM13059; OM13010; OM13061; OM13039; OM13028
LPC1830FET256,LPC1830FET256/3D,Cortex-M3,180,-0,0,200,0,N,164,1,2,HS (2x),host/device,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,1,LBGA256,-40 °C to +85 °C,2.4,3.6,Production,OM13028; OM13039; OM13026; OM13059; OM13010; OM13061
LPC1830FET2562,LPC1830FET256/CP3352,Cortex-M3,180,-0,0,200,0,N,164,1,2,HS (2x),host/device,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,1,LBGA256,-40 °C to +85 °C,2.4,3.6,Production,OM13026; OM13059; OM13010; OM13061; OM13039; OM13028
LPC1833FET256,LPC1833FET256,Cortex-M3,180,225,512,136,16,N,164,1,2,HS (2x),host/device,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,1,LBGA256,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13039; OM13026; OM13059; OM13010; OM13061
LPC1833JBD144,LPC1833JBD144,Cortex-M3,180,225,512,136,16,N,83,1,2,HS (2x),host/device,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,-0,LQFP144,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
LPC1833JET100,LPC1833JET100,Cortex-M3,180,225,512,136,16,N,49,1,2,HS (2x),host/device,0,2,4,4,12,1,4,10,10,4,32,1,1,6,-0,TFBGA100,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13061
LPC1833JET256,LPC1833JET256,Cortex-M3,180,225,512,136,16,N,164,1,2,HS (2x),host/device,0,2,4,2,2,-0,8,10,10,4,32,1,1,6,1,LBGA256,-40 °C to +105 °C,2.4,3.6,Production,OM13028; OM13026; OM13059; OM13061
