MCUMASK,SRAM,SRAM SIZE,SRAM2,SRAM2 SIZE,SRAM3,SRAM3 SIZE,CCM,CCM SIZE,Data EEPROM,Data EEPROM SIZE,Data EEPROM 2,Data EEPROM2 SIZE,FLASH,FLASH SIZE,FLASH2,FLASH2 SIZE,BACKUP SRAM,BACKUP SRAM SIZE
STM32L062x8,0x2000 0000,8,,,,,,,,,,,0x0800 0000,64,,,,
STM32L063x8,0x2000 0000,8,,,,,,,,,,,0x0800 0000,64,,,,
STM32L100C6,0x2000 0000,4,,,,,,,0x0808 0000,2,,,0x0800 0000,32,,,,
STM32L100R8,0x2000 0000,8,,,,,,,0x0808 0000,2,,,0x0800 0000,64,,,,
STM32L100RB,0x2000 0000,10,,,,,,,0x0808 0000,2,,,0x0800 0000,128,,,,
STM32L100C6-A,0x2000 0000,4,,,,,,,0x0808 0000,2,,,0x0800 0000,32,,,,
STM32L100R8-A,0x2000 0000,8,,,,,,,0x0808 0000,2,,,0x0800 0000,64,,,,
STM32L100RB-A,0x2000 0000,10,,,,,,,0x0808 0000,2,,,0x0800 0000,128,,,,
STM32L100RC,0x2000 0000,16,,,,,,,0x0808 0000,4,,,0x0800 0000,256,,,,
STM32L151x6,0x2000 0000,10,,,,,,,0x0808 0000,4,,,0x0800 0000,32,,,,
STM32L151x6-A,0x2000 0000,10,,,,,,,0x0808 0000,4,,,0x0800 0000,32,,,,
STM32L151x8,0x2000 0000,10,,,,,,,0x0808 0000,4,,,0x0800 0000,64,,,,
STM32L151x8-A,0x2000 0000,10,,,,,,,0x0808 0000,4,,,0x0800 0000,64,,,,
STM32L151xB,0x2000 0000,16,,,,,,,0x0808 0000,4,,,0x0800 0000,128,,,,
STM32L151xB-A,0x2000 0000,16,,,,,,,0x0808 0000,4,,,0x0800 0000,128,,,,
STM32L151xE,0x2000 0000,80,,,,,,,0x0808 0000,16,,,0x0800 0000,512,,,,
STM32L152x6,0x2000 0000,10,,,,,,,0x0808 0000,4,,,0x0800 0000,32,,,,
STM32L152x6-A,0x2000 0000,10,,,,,,,0x0808 0000,4,,,0x0800 0000,32,,,,
STM32L152x8,0x2000 0000,10,,,,,,,0x0808 0000,4,,,0x0800 0000,64,,,,
STM32L152x8-A,0x2000 0000,10,,,,,,,0x0808 0000,4,,,0x0800 0000,64,,,,
STM32L152xB,0x2000 0000,16,,,,,,,0x0808 0000,4,,,0x0800 0000,128,,,,
STM32L152xB-A,0x2000 0000,16,,,,,,,0x0808 0000,4,,,0x0800 0000,128,,,,
STM32L152xE,0x2000 0000,80,,,,,,,0x0808 0000,16,,,0x0800 0000,512,,,,
STM32L151xC,0x2000 0000,32,,,,,,,0x0808 0000,8,,,0x0800 0000,256,,,,
STM32L151xC-A,0x2000 0000,32,,,,,,,0x0808 0000,8,,,0x0800 0000,256,,,,
STM32L152xC,0x2000 0000,32,,,,,,,0x0808 0000,8,,,0x0800 0000,256,,,,
STM32L152xC-A,0x2000 0000,32,,,,,,,0x0808 0000,8,,,0x0800 0000,256,,,,
